cd_localidade;nm_localidade;cd_setor;cd_sit;nm_sit;cd_uf;nm_uf;sigla_uf;cd_mun;nm_mun;cd_dist;nm_dist;cd_subdist;nm_subdist;cagece_sistema_de_abastecimento;lat(y);long(x)
"23080051500000900";Mumbaba;"230800515000009";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2308005";Massapê;"230800515";Mumbaba;"23080051500";;SIAA ETA IPAGUAÇU;"-3.572498";"-40.34567"
"23081040500000100";Mauriti;"230810405000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308104";Mauriti;"230810405";Mauriti;"23081040500";;MAURITI (POÇOS);"-7.387398";"-38.772795"
"23081042700000100";Palestina do Cariri;"230810427000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308104";Mauriti;"230810427";Palestina do Cariri;"23081042700";;PALESTINA DO CARIRI ( POÇOS);"-7.468797";"-38.773898"
"23082030500001001";Meruoca;"230820305000010";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2308203";Meruoca;"230820305";Meruoca;"23082030500";;SAA ETA MERUOCA;"-3.539007";"-40.450881"
"23083020500000100";Milagres;"230830205000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308302";Milagres;"230830205";Milagres;"23083020500";;MILAGRES ( POÇOS);"-7.310428";"-38.943157"
"23083021000000100";Rosário;"230830210000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308302";Milagres;"230830210";Rosário;"23083021000";;ROSÁRIO ( POÇOS);"-7.301269";"-38.98251"
"23083771000000100";Brotas;"230837710000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308377";Miraíma;"230837710";Brotas;"23083771000";;SAA BROTAS;"-3.566646";"-39.764682"
"23083770500000100";Miraíma;"230837705000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308377";Miraíma;"230837705";Miraíma;"23083770500";;SAA MIRAÍMA;"-3.5686";"-39.970065"
"23084010500000100";Missão Velha;"230840105000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308401";Missão Velha;"230840105";Missão Velha;"23084010500";;MISSÃO VELHA ( POÇOS);"-7.243232";"-39.145198"
"23085000500000100";Mombaça;"230850005000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308500";Mombaça;"230850005";Mombaça;"23085000500";;MOMBAÇA;"-5.747005";"-39.624405"
"23086090500007200";Monsenhor Tabosa;"230860905000072";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308609";Monsenhor Tabosa;"230860905";Monsenhor Tabosa;"23086090500";;MONSENHOR TABOSA;"-4.783091";"-40.070067"
"23088070500000100";Moraújo;"230880705000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308807";Moraújo;"230880705";Moraújo;"23088070500";;SAA ETA MORAÚJO;"-3.466363";"-40.683599"
"23088071000000100";Várzea da Volta;"230880710000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308807";Moraújo;"230880710";Várzea da Volta;"23088071000";;SIAA ETA VÁRZEA DA VOLTA;"-3.500489";"-40.609649"
"23089060500000100";Morrinhos;"230890605000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308906";Morrinhos;"230890605";Morrinhos;"23089060500";;SAA ETA MORRINHOS;"-3.228831";"-40.124179"
"23089064000000100";Sítio Alegre;"230890640000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2308906";Morrinhos;"230890640";Sítio Alegre;"23089064000";;SAA ETA SÍTIO ALEGRE;"-3.315361";"-40.008137"
"23090030500000100";Mucambo;"230900305000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309003";Mucambo;"230900305";Mucambo;"23090030500";;SAA MUCAMBO;"-3.90603";"-40.74528"
"23091020500000101";Mulungu;"230910205000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309102";Mulungu;"230910205";Mulungu;"23091020500";;SAA MULUNGU;"-4.299528";"-38.993066"
"23092013000000100";Triunfo;"230920130000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309201";Nova Olinda;"230920130";Triunfo;"23092013000";;TRIUNFO (POÇO);"-7.094973";"-39.732173"
"23094090500000100";Novo Oriente;"230940905000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309409";Novo Oriente;"230940905";Novo Oriente;"23094090500";;NOVO ORIENTE;"-5.533865";"-40.774767"
"23094580500000100";Ocara;"230945805000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309458";Ocara;"230945805";Ocara;"23094580500";;SI OCARA;"-4.485067";"-38.598538"
"23094583000000100";Sereno de Cima;"230945830000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309458";Ocara;"230945830";Sereno de Cima;"23094583000";;SI OCARA;"-4.51744";"-38.614341"
"23095081000000100";Guassussê;"230950810000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309508";Orós;"230950810";Guassussê;"23095081000";;GUASSUSSÊ;"-6.34192";"-38.981729"
"23095080500000100";Orós;"230950805000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309508";Orós;"230950805";Orós;"23095080500";;ORÓS;"-6.242799";"-38.913596"
"23095082000000100";Palestina;"230950820000001";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2309508";Orós;"230950820";Palestina;"23095082000";;PALESTINA;"-6.327575";"-39.033248"
"23096070500000100";Pacajus;"230960705000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309607";Pacajus;"230960705";Pacajus;"23096070500";;ETA Horizonte;"-4.170541";"-38.467022"
"23097060500000100";Pacatuba;"230970605000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309706";Pacatuba;"230970605";Pacatuba;"23097060500";;SAA PACATUBA;"-3.98612";"-38.618299"
"23097063500004200";Pavuna;"230970635000042";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309706";Pacatuba;"230970635";Pavuna;"23097063500";;SI FORTALEZA;"-3.919028";"-38.60255"
"23098050500001000";Pacoti;"230980505000010";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2309805";Pacoti;"230980505";Pacoti;"23098050500";;SAA PACOTI;"-4.224765";"-38.925889"
"23099040500000100";Pacujá;"230990405000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2309904";Pacujá;"230990405";Pacujá;"23099040500";;SAA PACUJÁ;"-3.978394";"-40.696736"
"23100010500000100";Palhano;"231000105000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310001";Palhano;"231000105";Palhano;"23100010500";;PALHANO;"-4.743945";"-37.966235"
